prompt,completion
"What is the policy for returning items?","The policy for returning items allows customers to return products within 30 days with a receipt."
"Are discounts available for bulk purchases?","Yes, discounts are available for orders over $500."
"What are the terms for international shipping?","International shipping is available with additional charges, and delivery times vary by country."
"How are warranty claims handled?","Warranty claims are managed through customer support. Products with valid warranties can be repaired or replaced."
"What payment methods do you accept?","We accept credit cards, debit cards, and online payment options like PayPal."
"Is there a restocking fee if I return something?","No, we do not charge a restocking fee for returns."
"Can I track my order status after it ships?","Yes, you will receive a tracking link via email once your order has shipped."
"Can I exchange an item I purchased?","Yes, items can be exchanged if they are returned within 30 days with a valid receipt."
"Is gift wrapping available for purchases?","Yes, gift wrapping is available at an additional cost during checkout."
"How can I cancel my order?","Orders can be canceled within 24 hours of placement by contacting customer service."
"What is the return policy for electronics?","Electronics can be returned within 15 days with a receipt. Some exclusions apply."
"Do you offer free shipping?","Free shipping is available on orders over $100."
"What is the warranty period on furniture?","Furniture comes with a 1-year warranty that covers defects in material and workmanship."
"Can I purchase a gift card?","Yes, gift cards are available in various denominations and can be purchased online."
"Are there any discounts for members?","Members receive a 10% discount on all purchases, excluding clearance items."
"What is the estimated delivery time?","Standard delivery takes 3-5 business days, while expedited shipping can deliver in 1-2 business days."
"Do you accept returns without a receipt?","Returns without a receipt are accepted at the manager's discretion, and store credit may be issued."
"How do I redeem a coupon code?","Coupon codes can be entered during checkout in the discount code section."
"What should I do if my item is damaged?","If your item is damaged, please contact customer service immediately for a return or replacement."
"Can I change my delivery address?","Delivery addresses can be updated before the order ships by contacting customer service."
"Is there a minimum order for free shipping?","Free shipping is available on orders over $100."
"Can I use multiple promo codes?","Only one promo code can be used per order."
"How do I sign up for your newsletter?","You can sign up for our newsletter on the website by entering your email address at the bottom of the page."
"What happens if my order is out of stock?","If an item is out of stock, we will notify you and offer the option to either backorder or cancel the order."
"Can I purchase online and pick up in-store?","Yes, we offer in-store pickup for online orders. Select the 'In-Store Pickup' option at checkout."
"What is your privacy policy?","Our privacy policy outlines how we collect, use, and protect your personal information. It can be viewed on our website."
"Are there any seasonal sales?","Yes, we have seasonal sales during holidays like Christmas, Black Friday, and New Year."
